name,mean,std
KDDL,0.8244360127986793,1.4032094910812036
DABUR,0.35213716970642694,1.4052334489901235
HCLTECH,0.7824302058391305,1.4052777861421177
GRPLTD,0.041734232826737765,1.4162726726643617
REPL,0.24020685772823036,1.4282788728984404
SKFINDIA,0.90011387667341,1.4300264947678754
L&TFH,0.08427922507917412,1.436712806996832
EIHAHOTELS,0.33729953295629284,1.4643100861296567
BAJAJCON,0.07626412176905357,1.4653553785947933
TATACHEM,0.018802577803125043,1.467352554945373
HIKAL,0.24294432766121815,1.4697355531564384
RKFORGE,1.1737537515453753,1.4760995014563485
MOIL,0.9125713261792547,1.4813221773625413
NAM-INDIA,0.07204234903137026,1.4914622867968963
EBIXFOREX,0.1711377660254002,1.4919122912236293
DELTACORP,0.6698014707721738,1.5048629476172661
